tempo,rootlocus,referencia,bode
0,0,0,0
3.1554e-30,0,3.1554e-30,0
0.00034112,-1.0194e-16,0.00034112,-7.3404e-17
0.00068224,-4.3957e-16,0.00068224,-3.1653e-16
0.0010234,-1.1541e-15,0.0010234,-8.3108e-16
0.0025117,-1.2745e-14,0.0025117,-9.1773e-15
0.004,-4.4891e-14,0.004,-3.2326e-14
0.0054883,-1.0893e-13,0.0054883,-7.8442e-14
0.0069767,-2.1673e-13,0.0069767,-1.5607e-13
0.011394,-9.5423e-13,0.011394,-6.8713e-13
0.015811,-2.4999e-12,0.015811,-1.8001e-12
0.020228,-5.1554e-12,0.020228,-3.7124e-12
0.024645,-9.2318e-12,0.024645,-6.6477e-12
0.068816,-2.4017e-10,0.068816,-1.7295e-10
0.11299,-9.6676e-10,0.11299,-6.9616e-10
0.15716,-2.484e-09,0.15716,-1.7887e-09
0.20133,-5.1002e-09,0.20133,-3.6726e-09
0.40907,-4.1238e-08,0.40907,-2.9695e-08
0.61681,-1.4024e-07,0.61681,-1.0098e-07
0.82454,-3.337e-07,0.82454,-2.403e-07
1,-5.9375e-07,1,-4.2756e-07
1,-5.9375e-07,1,-4.2756e-07
1,-5.9375e-07,1,-4.2756e-07
1.0411,-6.7187e-07,1.0411,-4.8381e-07
1.0823,-7.5619e-07,1.0823,-5.4453e-07
1.1234,-8.4706e-07,1.1234,-6.0996e-07
1.2255,-1.0995e-06,1.2255,-7.9178e-07
1.3276,-1.3954e-06,1.3276,-1.0048e-06
1.4297,-1.739e-06,1.4297,-1.2523e-06
1.5319,-2.1345e-06,1.5319,-1.537e-06
1.7145,-2.9815e-06,1.7145,-2.1469e-06
1.8971,-4.0256e-06,1.8971,-2.8988e-06
2.0797,-5.2871e-06,2.0797,-3.8072e-06
2.2623,-6.7861e-06,2.2623,-4.8866e-06
2.4449,-8.542e-06,2.4449,-6.1511e-06
2.8651,-1.3663e-05,2.8651,-9.839e-06
3.2852,-2.0481e-05,3.2852,-1.4748e-05
3.7054,-2.9223e-05,3.7054,-2.1043e-05
4.1255,-4.0112e-05,4.1255,-2.8885e-05
4.5457,-5.3366e-05,4.5457,-3.8429e-05
4.9658,-6.9198e-05,4.9658,-4.9829e-05
5.9658,-0.00011846,5.9658,-8.5303e-05
6.9658,-0.00018618,6.9658,-0.00013407
7.9658,-0.0002749,7.9658,-0.00019795
8.9658,-0.00038699,8.9658,-0.00027867
9.9658,-0.0005247,9.9658,-0.00037784
10.966,-0.00069011,10.966,-0.00049695
11.966,-0.00088519,11.966,-0.00063743
12.966,-0.0011118,12.966,-0.00080058
13.966,-0.0013715,13.966,-0.00098761
14.966,-0.0016659,14.966,-0.0011996
15.966,-0.0019965,15.966,-0.0014377
16.966,-0.0023646,16.966,-0.0017028
17.966,-0.0027713,17.966,-0.0019956
18.966,-0.0032177,18.966,-0.0023171
19.966,-0.0037048,19.966,-0.0026678
20.966,-0.0042334,20.966,-0.0030485
21.966,-0.0048042,21.966,-0.0034595
22.966,-0.0054179,22.966,-0.0039015
23.966,-0.006075,23.966,-0.0043747
24.966,-0.006776,24.966,-0.0048794
25.966,-0.0075211,25.966,-0.005416
26.966,-0.0083106,26.966,-0.0059845
27.966,-0.0091446,27.966,-0.0065851
28.966,-0.010023,28.966,-0.0072178
29.966,-0.010946,29.966,-0.0078825
30.966,-0.011914,30.966,-0.0085793
31.966,-0.012926,31.966,-0.0093079
32.966,-0.013981,32.966,-0.010068
33.966,-0.015081,33.966,-0.01086
34.966,-0.016223,34.966,-0.011682
35.966,-0.017408,35.966,-0.012536
36.966,-0.018635,36.966,-0.013419
37.966,-0.019903,37.966,-0.014332
38.966,-0.021212,38.966,-0.015275
39.966,-0.022561,39.966,-0.016246
40.966,-0.023948,40.966,-0.017245
41.966,-0.025374,41.966,-0.018272
42.966,-0.026836,42.966,-0.019325
43.966,-0.028334,43.966,-0.020404
44.966,-0.029868,44.966,-0.021508
45.966,-0.031434,45.966,-0.022636
46.966,-0.033034,46.966,-0.023788
47.966,-0.034664,47.966,-0.024962
48.966,-0.036324,48.966,-0.026157
49.966,-0.038013,49.966,-0.027373
50.966,-0.039728,50.966,-0.028608
51.966,-0.041469,51.966,-0.029862
52.966,-0.043234,52.966,-0.031132
53.966,-0.045021,53.966,-0.032419
54.966,-0.046828,54.966,-0.033721
55.966,-0.048655,55.966,-0.035036
56.966,-0.050499,56.966,-0.036364
57.966,-0.052359,57.966,-0.037703
58.966,-0.054232,58.966,-0.039052
59.966,-0.056117,59.966,-0.040409
60.966,-0.058013,60.966,-0.041774
61.966,-0.059916,61.966,-0.043145
62.966,-0.061825,62.966,-0.04452
63.966,-0.063739,63.966,-0.045897
64.966,-0.065655,64.966,-0.047277
65.966,-0.06757,65.966,-0.048656
66.966,-0.069484,66.966,-0.050034
67.966,-0.071394,67.966,-0.05141
68.966,-0.073298,68.966,-0.05278
69.966,-0.075193,69.966,-0.054145
70.966,-0.077077,70.966,-0.055501
71.966,-0.078948,71.966,-0.056849
72.966,-0.080805,72.966,-0.058186
73.966,-0.082644,73.966,-0.05951
74.966,-0.084463,74.966,-0.06082
75.966,-0.08626,75.966,-0.062114
76.966,-0.088033,76.966,-0.06339
77.966,-0.089778,77.966,-0.064647
78.966,-0.091495,78.966,-0.065883
79.966,-0.09318,79.966,-0.067096
80.966,-0.094831,80.966,-0.068285
81.966,-0.096445,81.966,-0.069447
82.966,-0.09802,82.966,-0.070581
83.966,-0.099554,83.966,-0.071686
84.966,-0.10104,84.966,-0.072758
85.966,-0.10249,85.966,-0.073797
86.966,-0.10388,86.966,-0.074801
87.966,-0.10522,87.966,-0.075767
88.966,-0.10651,88.966,-0.076694
89.966,-0.10774,89.966,-0.07758
90.966,-0.10891,90.966,-0.078423
91.966,-0.11002,91.966,-0.079221
