tempo,compensador,referencia,pi
0,0,0,0
3.1554e-30,-4.4162e-69,3.1554e-30,-4.5208e-62
1.9726,-4.5009e-06,1.9726,-0.017221
3.5829,-2.6432e-05,3.5829,-0.055624
6.1365,-0.00012859,6.1365,-0.15768
10.077,-0.00054161,10.077,-0.40276
15.97,-0.0019979,15.97,-0.92926
24.568,-0.0064919,24.568,-1.9258
36.886,-0.018535,36.886,-3.5088
54.329,-0.045675,54.329,-5.2826
78.931,-0.091434,78.931,-5.1649
113.8,-0.1133,113.8,3.1183
164.07,0.15681,164.07,33.802
229.52,1.589,229.52,98.902
304.67,5.6495,304.67,186.79
380.59,13.346,380.59,272.03
473.95,28.979,473.95,366.97
600.07,62.773,600.07,489.89
706.03,103.57,706.03,595.1
879.7,195.96,879.7,769.27
1031.6,302.09,1031.6,921.25
1275.2,515.77,1275.2,1164.8
1551.8,808.44,1551.8,1441.4
1658.5,931.06,1658.5,1548.1
1765.2,1057.3,1765.2,1654.8
1929.9,1256.4,1929.9,1819.4
2082.5,1443,2082.5,1972
2235,1629.4,2235,2124.6
2375.7,1799.3,2375.7,2265.2
2500.5,1947.9,2500.5,2390
2623.7,2092.1,2623.7,2513.2
2761.5,2250.3,2761.5,2651
2914.5,2422.1,2914.5,2804
3063.7,2585.7,3063.7,2953.2
3194.2,2726.2,3194.2,3083.8
3314.5,2853.5,3314.5,3204
3443.4,2988.4,3443.4,3333
3591.7,3141.6,3591.7,3481.2
3747.2,3300.8,3747.2,3636.7
3887,3443.1,3887,3776.5
4008.6,3566.5,4008.6,3898.2
4130,3689.5,4130,4019.6
4269.4,3830.8,4269.4,4158.9
4426.1,3990,4426.1,4315.6
4576.3,4143.2,4576.3,4465.9
4704.4,4274,4704.4,4593.9
4821.7,4394.3,4821.7,4711.3
4950.6,4526.8,4950.6,4840.1
5102,4682.8,5102,4991.5
5260.3,4846.5,5260.3,5149.8
5399,4990.2,5399,5288.5
5517.6,5113.1,5517.6,5407.1
5637.3,5237.5,5637.3,5526.9
5778.4,5384,5778.4,5667.9
5938.6,5550.5,5938.6,5828.2
6089.7,5707.4,6089.7,5979.2
6215.2,5837.7,6215.2,6104.8
6330,5956.6,6330,6219.5
6458.9,6090.2,6458.9,6348.4
6613.3,6250.1,6613.3,6502.8
6774,6416.4,6774,6663.6
6911.6,6558.4,6911.6,6801.1
7027.4,6677.9,7027.4,6916.9
7145.8,6799.9,7145.8,7035.3
7288.4,6946.9,7288.4,7177.9
7451.8,7115.1,7451.8,7341.3
7603.4,7271.1,7603.4,7493
7726.8,7397.9,7726.8,7616.3
7839.3,7513.5,7839.3,7728.9
7968.4,7646,7968.4,7857.9
8125.2,7807,8125.2,8014.8
8288,7974.1,8288,8177.5
8424.5,8114.2,8424.5,8314.1
8538.1,8230.6,8538.1,8427.6
8655.5,8351,8655.5,8545
8799.3,8498.4,8799.3,8688.9
8965.1,8668.3,8965.1,8854.6
9117.2,8824.2,9117.2,9006.7
9238.9,8948.8,9238.9,9128.4
9349.8,9062.4,9349.8,9239.4
9478.9,9194.5,9478.9,9368.5
9637.6,9356.9,9637.6,9527.1
9801.8,9524.9,9801.8,9691.3
9937.6,9663.8,9937.6,9827.2
10050,9778.3,10050,9939.2
10166,9897.5,10166,10056
10311,10045,10311,10200
10478,10216,10478,10368
10599,10339,10599,10488
10720,10463,10720,10609
10865,10611,10865,10754
11028,10777,11028,10918
11177,10929,11177,11066
11298,11053,11298,11188
11412,11168,11412,11301
11544,11303,11544,11433
11702,11465,11702,11592
11863,11628,11863,11752
11996,11764,11996,11886
12109,11879,12109,11999
12229,12001,12229,12118
12376,12150,12376,12265
12542,12319,12542,12431
12690,12470,12690,12580
12810,12591,12810,12699
12922,12705,12922,12811
13054,12840,13054,12944
13215,13003,13215,13104
13377,13168,13377,13266
13509,13302,13509,13399
13620,13415,13620,13510
13740,13536,13740,13629
13887,13686,13887,13777
14055,13856,14055,13945
14173,13976,14173,14063
14291,14096,14291,14181
14437,14243,14437,14326
14603,14412,14603,14492
14723,14534,14723,14613
14844,14656,14844,14733
14989,14803,14989,14878
15152,14968,15152,15042
15301,15119,15301,15190
15422,15242,15422,15312
15536,15357,15536,15425
15668,15490,15668,15557
15826,15651,15826,15716
15987,15813,15987,15877
16121,15948,16121,16010
16234,16063,16234,16123
16353,16184,16353,16243
16500,16332,16500,16389
16666,16500,16666,16555
16814,16650,16814,16704
16934,16771,16934,16824
17046,16884,17046,16936
17178,17018,17178,17068
17339,17180,17339,17228
17501,17344,17501,17390
17634,17478,17634,17523
17745,17590,17745,17634
17864,17710,17864,17753
18011,17859,18011,17901
18179,18028,18179,18068
18297,18148,18297,18187
18416,18267,18416,18305
18561,18414,18561,18451
18727,18581,18727,18617
18878,18733,18878,18767
18998,18855,18998,18888
19109,18967,19109,18999
19240,19099,19240,19130
19400,19260,19400,19289
19563,19424,19563,19453
19697,19560,19697,19587
19809,19672,19809,19698
19926,19791,19926,19816
20073,19938,20073,19962
20240,20107,20240,20130
20360,20227,20360,20249
20479,20347,20479,20369
20624,20494,20624,20514
20789,20660,20789,20679
20939,20811,20939,20828
21060,20932,21060,20949
21172,21045,21172,21062
21303,21177,21303,21193
21463,21338,21463,21352
21625,21501,21625,21514
21759,21636,21759,21648
21871,21748,21871,21760
21989,21868,21989,21879
22136,22015,22136,22025
22303,22183,22303,22192
22422,22303,22422,22312
22541,22423,22541,22431
22687,22569,22687,22576
22851,22735,22851,22741
23001,22886,23001,22891
23122,23007,23122,23012
23234,23120,23234,23124
23365,23252,23365,23255
23525,23412,23525,23414
23687,23575,23687,23576
23821,23710,23821,23710
23933,23822,23933,23822
24052,23942,24052,23941
24198,24089,24198,24087
24365,24256,24365,24254
24484,24376,24484,24374
24604,24497,24604,24493
24749,24642,24749,24638
24913,24808,24913,24803
25063,24958,25063,24953
25184,25080,25184,25074
25297,25193,25297,25186
25428,25324,25428,25317
25587,25484,25587,25476
25749,25647,25749,25638
25883,25781,25883,25772
25995,25894,25995,25885
26114,26013,26114,26003
26260,26160,26260,26150
26427,26328,26427,26316
26546,26447,26546,26436
26666,26567,26666,26555
26811,26713,26811,26701
26975,26878,26975,26865
27125,27028,27125,27015
27246,27150,27246,27136
27359,27263,27359,27248
27490,27394,27490,27379
27649,27554,27649,27538
27811,27717,27811,27700
27945,27851,27945,27834
28057,27964,28057,27947
28176,28083,28176,28065
28322,28230,28322,28212
28489,28397,28489,28378
28608,28517,28608,28498
28728,28637,28728,28617
28873,28782,28873,28763
29037,28947,29037,28927
29187,29097,29187,29077
29308,29219,29308,29198
29421,29331,29421,29310
29552,29463,29552,29441
29711,29623,29711,29601
29873,29785,29873,29762
30000,29912,30000,29890
