tempo,rootlocus,referencia,bode
0,0,0,0
3.1554e-30,-5.4127e-70,3.1554e-30,-1.8653e-69
0.98453,-5.6658e-07,0.98453,-1.937e-06
2.246,-6.6217e-06,2.246,-2.2638e-05
3.9986,-3.6551e-05,3.9986,-0.00012496
6.7882,-0.00017265,6.7882,-0.00059023
11.064,-0.00070785,11.064,-0.00242
17.424,-0.002546,17.424,-0.0087047
26.666,-0.0080688,26.666,-0.02759
39.867,-0.022426,39.867,-0.0767
58.536,-0.053425,58.536,-0.1828
84.872,-0.1009,84.872,-0.34553
122.29,-0.10005,122.29,-0.34303
176.33,0.3127,176.33,1.0734
254.14,2.5878,254.14,8.8804
368.26,11.813,368.26,40.252
538.36,44.309,538.36,146.78
745.1,121.61,745.1,377.97
850.77,178.39,850.77,530.02
956.45,246.72,956.45,695.4
1103.6,360.04,1103.6,931.79
1282.9,523.33,1282.9,1201.8
1390,631.94,1390,1343
1497.1,747.3,1497.1,1466.1
1641,910.63,1641,1603.5
1815.1,1117.1,1815.1,1736.5
1925.5,1251,1925.5,1810.3
2035.9,1386,2035.9,1882.9
2178.7,1560.7,2178.7,1983.6
2346.4,1764.1,2346.4,2121.5
2460.6,1900.6,2460.6,2230.4
2574.8,2035.1,2574.8,2351
2716.6,2199.2,2716.6,2514
2879.3,2382.9,2879.3,2710.9
2995.4,2511.2,2995.4,2852
3111.4,2637.4,3111.4,2989.8
3252.7,2788.3,3252.7,3149.2
3412.6,2956.3,3412.6,3316.4
3557.6,3106.5,3557.6,3456.4
3674.5,3226.4,3674.5,3563.1
3783.3,3337.5,3783.3,3659.9
3910.9,3467.3,3910.9,3772.8
4065.8,3624.4,4065.8,3912.9
4223,3783.7,4223,4061.8
4352.5,3915.2,4352.5,4190.7
4461.3,4025.9,4461.3,4302.8
4576.6,4143.4,4576.6,4424.8
4719.1,4289.1,4719.1,4578.3
4881,4455.1,4881,4753.3
4996.7,4574.2,4996.7,4876.8
5112.3,4693.5,5112.3,4998
5253.3,4839.2,5253.3,5142.3
5413.4,5005,5413.4,5301.7
5558.7,5155.9,5558.7,5443.3
5676,5277.6,5676,5556.3
5784.7,5390.5,5784.7,5661
5911.9,5522.7,5911.9,5784.4
6066.6,5683.3,6066.6,5936.5
6224.1,5846.8,6224.1,6094.2
6354.1,5981.6,6354.1,6226.3
6462.8,6094.3,6462.8,6337.8
6577.8,6213.3,6577.8,6456.3
6719.9,6360.3,6719.9,6603
6881.9,6527.7,6881.9,6769.6
6997.7,6647.3,6997.7,6887.7
7113.6,6766.8,7113.6,7004.8
7254.6,6912,7254.6,7146.2
7414.3,7076.5,7414.3,7305.2
7559.5,7225.9,7559.5,7449.1
7676.9,7346.5,7676.9,7565.4
7785.9,7458.6,7785.9,7673.6
7913.3,7589.4,7913.3,7800.5
8067.8,7748,8067.8,7955.5
8225,7909.4,8225,8114.2
8354.9,8042.7,8354.9,8245.7
8463.8,8154.4,8463.8,8356.1
8578.9,8272.5,8578.9,8472.9
8721.1,8418.2,8721.1,8616.9
8882.9,8584,8882.9,8780.3
8998.8,8702.8,8998.8,8897
9114.7,8821.6,9114.7,9013.3
9255.6,8965.9,9255.6,9154.4
9415.3,9129.3,9415.3,9314
9560.5,9277.9,9560.5,9459.2
9677.9,9398.1,9677.9,9576.7
9787,9509.8,9787,9686
9914.3,9640,9914.3,9813.7
10069,9797.8,10069,9969
10226,9958.5,10226,10127
10356,10091,10356,10258
10465,10203,10465,10368
10580,10320,10580,10484
10722,10465,10722,10627
10884,10630,10884,10789
11000,10749,11000,10906
11116,10867,11116,11022
11257,11010,11257,11163
11416,11173,11416,11323
11561,11321,11561,11469
11679,11441,11679,11587
11788,11552,11788,11696
11915,11682,11915,11824
12070,11839,12070,11979
12227,11999,12227,12137
12357,12131,12357,12268
12466,12242,12466,12377
12581,12359,12581,12493
12723,12503,12723,12635
12885,12668,12885,12797
13001,12786,13001,12914
13117,12903,13117,13030
