tempo,kirootlocus,kibode,kiatrasobode,kiatrasorootlocus
0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.4,0,0,0,0
0.5,0,0,0,0
0.6,0,0,0,0
0.7,0,0,0,0
0.8,0,0,0,0
0.9,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1.1,-1.8463e-08,-2.1067e-08,0,0
1.2,-7.3727e-08,-8.4127e-08,0,0
1.3,-1.6561e-07,-1.8897e-07,0,0
1.4,-2.9393e-07,-3.3539e-07,0,0
1.5,-4.585e-07,-5.2317e-07,0,0
1.6,-6.5914e-07,-7.5212e-07,0,0
1.7,-8.9567e-07,-1.022e-06,0,0
1.8,-1.1679e-06,-1.3326e-06,0,0
1.9,-1.4757e-06,-1.6838e-06,0,0
2,-1.8188e-06,-2.0753e-06,0,0
2.1,-2.197e-06,-2.5069e-06,0,0
2.2,-2.6103e-06,-2.9785e-06,0,0
2.3,-3.0584e-06,-3.4898e-06,0,0
2.4,-3.541e-06,-4.0405e-06,0,0
2.5,-4.0582e-06,-4.6306e-06,0,0
2.6,-4.6096e-06,-5.2598e-06,0,0
2.7,-5.1951e-06,-5.9279e-06,0,0
2.8,-5.8145e-06,-6.6347e-06,0,0
2.9,-6.4677e-06,-7.38e-06,0,0
3,-7.1544e-06,-8.1635e-06,0,0
3.1,-7.8745e-06,-8.9852e-06,0,0
3.2,-8.6278e-06,-9.8448e-06,0,0
3.3,-9.4142e-06,-1.0742e-05,0,0
3.4,-1.0233e-05,-1.1677e-05,0,0
3.5,-1.1085e-05,-1.2649e-05,0,0
3.6,-1.197e-05,-1.3658e-05,0,0
3.7,-1.2886e-05,-1.4704e-05,0,0
3.8,-1.3835e-05,-1.5787e-05,0,0
3.9,-1.4816e-05,-1.6906e-05,0,0
4,-1.5829e-05,-1.8062e-05,0,0
4.1,-1.6874e-05,-1.9254e-05,0,0
4.2,-1.7949e-05,-2.0481e-05,0,0
4.3,-1.9057e-05,-2.1745e-05,0,0
4.4,-2.0195e-05,-2.3044e-05,0,0
4.5,-2.1364e-05,-2.4378e-05,0,0
4.6,-2.2565e-05,-2.5747e-05,0,0
4.7,-2.3795e-05,-2.7152e-05,0,0
4.8,-2.5057e-05,-2.8591e-05,0,0
4.9,-2.6348e-05,-3.0065e-05,0,0
5,-2.767e-05,-3.1573e-05,0,0
5.1,-2.9021e-05,-3.3115e-05,0,0
5.2,-3.0403e-05,-3.4691e-05,0,0
5.3,-3.1814e-05,-3.6302e-05,0,0
5.4,-3.3255e-05,-3.7945e-05,0,0
5.5,-3.4724e-05,-3.9622e-05,0,0
5.6,-3.6223e-05,-4.1333e-05,0,0
5.7,-3.7751e-05,-4.3076e-05,0,0
5.8,-3.9308e-05,-4.4853e-05,0,0
5.9,-4.0894e-05,-4.6662e-05,0,0
6,-4.2507e-05,-4.8503e-05,0,0
6.1,-4.415e-05,-5.0377e-05,0,0
6.2,-4.582e-05,-5.2283e-05,0,0
6.3,-4.7518e-05,-5.4221e-05,0,0
6.4,-4.9245e-05,-5.6191e-05,0,0
6.5,-5.0998e-05,-5.8192e-05,0,0
6.6,-5.278e-05,-6.0225e-05,0,0
6.7,-5.4588e-05,-6.2289e-05,0,0
6.8,-5.6424e-05,-6.4383e-05,0,0
6.9,-5.8287e-05,-6.6509e-05,0,0
7,-6.0177e-05,-6.8666e-05,0,0
7.1,-6.2094e-05,-7.0852e-05,0,0
7.2,-6.4037e-05,-7.307e-05,0,0
7.3,-6.6006e-05,-7.5317e-05,0,0
7.4,-6.8002e-05,-7.7594e-05,0,0
7.5,-7.0024e-05,-7.9901e-05,0,0
7.6,-7.2071e-05,-8.2238e-05,0,0
7.7,-7.4145e-05,-8.4604e-05,0,0
7.8,-7.6244e-05,-8.6999e-05,0,0
7.9,-7.8368e-05,-8.9423e-05,0,0
8,-8.0518e-05,-9.1876e-05,0,0
8.1,-8.2693e-05,-9.4358e-05,0,0
8.2,-8.4893e-05,-9.6868e-05,0,0
8.3,-8.7118e-05,-9.9407e-05,0,0
8.4,-8.9368e-05,-0.00010197,0,0
8.5,-9.1642e-05,-0.00010457,0,0
8.6,-9.394e-05,-0.00010719,0,0
8.7,-9.6263e-05,-0.00010984,0,0
8.8,-9.8609e-05,-0.00011252,0,0
8.9,-0.00010098,-0.00011522,0,0
9,-0.00010337,-0.00011796,0,0
9.1,-0.00010579,-0.00012072,0,0
9.2,-0.00010823,-0.0001235,0,0
9.3,-0.0001107,-0.00012631,0,0
9.4,-0.00011319,-0.00012915,0,0
9.5,-0.0001157,-0.00013202,0,0
9.6,-0.00011823,-0.00013491,0,0
9.7,-0.00012079,-0.00013783,0,0
9.8,-0.00012337,-0.00014077,0,0
9.9,-0.00012597,-0.00014374,0,0
10,-0.00012859,-0.00014673,0,0
10.1,-0.00013124,-0.00014975,0,0
10.2,-0.00013391,-0.0001528,0,0
10.3,-0.0001366,-0.00015586,0,0
10.4,-0.00013931,-0.00015896,0,0
10.5,-0.00014204,-0.00016208,0,0
10.6,-0.00014479,-0.00016522,0,0
10.7,-0.00014757,-0.00016839,0,0
10.8,-0.00015037,-0.00017158,0,0
10.9,-0.00015318,-0.00017479,0,0
11,-0.00015602,-0.00017803,0,0
11.1,-0.00015888,-0.00018129,0,0
11.2,-0.00016176,-0.00018458,0,0
11.3,-0.00016466,-0.00018789,0,0
11.4,-0.00016758,-0.00019122,0,0
11.5,-0.00017052,-0.00019458,0,0
11.6,-0.00017348,-0.00019796,0,0
11.7,-0.00017646,-0.00020136,0,0
11.8,-0.00017946,-0.00020478,0,0
11.9,-0.00018248,-0.00020822,0,0
12,-0.00018552,-0.00021169,0,0
12.1,-0.00018858,-0.00021518,0,0
12.2,-0.00019166,-0.00021869,0,0
12.3,-0.00019475,-0.00022223,0,0
12.4,-0.00019787,-0.00022578,0,0
12.5,-0.000201,-0.00022936,0,0
12.6,-0.00020416,-0.00023295,0,0
12.7,-0.00020733,-0.00023657,0,0
12.8,-0.00021052,-0.00024021,0,0
12.9,-0.00021372,-0.00024387,0,0
13,-0.00021695,-0.00024755,0,0
13.1,-0.00022019,-0.00025125,0,0
13.2,-0.00022345,-0.00025497,0,0
13.3,-0.00022673,-0.00025871,0,0
13.4,-0.00023003,-0.00026247,0,0
13.5,-0.00023334,-0.00026625,0,0
13.6,-0.00023667,-0.00027006,0,0
13.7,-0.00024002,-0.00027387,0,0
13.8,-0.00024338,-0.00027771,0,0
13.9,-0.00024676,-0.00028157,0,0
14,-0.00025016,-0.00028545,0,0
14.1,-0.00025358,-0.00028935,0,0
14.2,-0.00025701,-0.00029326,0,0
14.3,-0.00026045,-0.00029719,0,0
14.4,-0.00026392,-0.00030115,0,0
14.5,-0.0002674,-0.00030512,0,0
14.6,-0.00027089,-0.0003091,0,0
14.7,-0.0002744,-0.00031311,0,0
14.8,-0.00027793,-0.00031713,0,0
14.9,-0.00028147,-0.00032118,0,0
15,-0.00028503,-0.00032524,0,0
15.1,-0.0002886,-0.00032931,0,0
15.2,-0.00029219,-0.00033341,0,0
15.3,-0.00029579,-0.00033752,0,0
15.4,-0.00029941,-0.00034164,0,0
15.5,-0.00030304,-0.00034579,0,0
15.6,-0.00030669,-0.00034995,0,0
15.7,-0.00031035,-0.00035413,0,0
15.8,-0.00031402,-0.00035832,0,0
15.9,-0.00031771,-0.00036253,0,0
16,-0.00032142,-0.00036676,0,0
16.1,-0.00032514,-0.000371,0,0
16.2,-0.00032887,-0.00037526,0,0
16.3,-0.00033261,-0.00037953,0,0
16.4,-0.00033637,-0.00038382,0,0
16.5,-0.00034014,-0.00038813,0,0
16.6,-0.00034393,-0.00039245,0,0
16.7,-0.00034773,-0.00039678,0,0
