tempo,rootlocuspade
0.0,0.0
3.1554e-30,-2.8653999999999997e-32
5.6447e-05,-5.1258e-07
0.00033868,-3.0755e-06
0.0017499,-1.589e-05
0.0088057,-7.9949e-05
0.018806,-0.00017071
0.028806,-0.00026143
0.038806,-0.00035212
0.048806,-0.00044278
0.058806,-0.0005334
0.068806,-0.00062398
0.078806,-0.00071453
0.088806,-0.00080505
0.098806,-0.00089553
0.10881,-0.00098597
0.11881,-0.0010764
0.12881,-0.0011668
0.13881,-0.0012571
0.14881,-0.0013474
0.15881,-0.0014377
0.16881,-0.0015279
0.17881,-0.0016181
0.18881,-0.0017083
0.19881,-0.0017984
0.20881,-0.0018885
0.21881,-0.0019786
0.22881,-0.0020686
0.23881,-0.0021586
0.24881,-0.0022485
0.25881,-0.0023385
0.26881,-0.0024283
0.27881,-0.0025182
0.28881,-0.002608
0.29881,-0.0026978
0.30881,-0.0027875
0.31881,-0.0028772
0.32881,-0.0029669
0.33881,-0.0030566
0.34881,-0.0031462
0.35881,-0.0032357
0.36881,-0.0033253
0.37881,-0.0034148
0.38881,-0.0035042
0.39881,-0.0035937
0.40881,-0.0036831
0.41881,-0.0037724
0.42881,-0.0038618
0.43881,-0.0039511
0.44881,-0.0040403
0.45881,-0.0041295
0.46881,-0.0042187
0.47881,-0.0043079
0.48881,-0.004397
0.49881,-0.0044861
0.50881,-0.0045751
0.51881,-0.0046641
0.52881,-0.0047531
0.53881,-0.0048421
0.54881,-0.004931
0.55881,-0.0050199
0.56881,-0.0051087
0.57881,-0.0051975
0.58881,-0.0052863
0.59881,-0.005375
0.60881,-0.0054637
0.61881,-0.0055524
0.62881,-0.005641
0.63881,-0.0057296
0.64881,-0.0058182
0.65881,-0.0059067
0.66881,-0.0059952
0.67881,-0.0060836
0.68881,-0.0061721
0.69881,-0.0062604
0.70881,-0.0063488
0.71881,-0.0064371
0.72881,-0.0065254
0.73881,-0.0066136
0.74881,-0.0067019
0.75881,-0.00679
0.76881,-0.0068782
0.77881,-0.0069663
0.78881,-0.0070544
0.79881,-0.0071424
0.80881,-0.0072304
0.81881,-0.0073184
0.82881,-0.0074063
0.83881,-0.0074942
0.84881,-0.0075821
0.85881,-0.0076699
0.86881,-0.0077577
0.87881,-0.0078455
0.88881,-0.0079332
0.89881,-0.0080209
0.90881,-0.0081085
0.91881,-0.0081962
0.92881,-0.0082838
0.93881,-0.0083713
0.94881,-0.0084588
0.95881,-0.0085463
0.96881,-0.0086338
0.97881,-0.0087212
0.98881,-0.0088086
0.99881,-0.0088959
1.0088,-0.0089832
1.0188,-0.0090705
1.0288,-0.0091577
1.0388,-0.0092449
1.0488,-0.0093321
1.0588,-0.0094192
1.0688,-0.0095063
1.0788,-0.0095934
1.0888,-0.0096804
1.0988,-0.0097674
1.1088,-0.0098544
1.1188,-0.0099413
1.1288,-0.010028
1.1388,-0.010115
1.1488,-0.010202
1.1588,-0.010289
1.1688,-0.010375
1.1788,-0.010462
1.1888,-0.010549
1.1988,-0.010636
1.2088,-0.010722
1.2188,-0.010809
1.2288,-0.010895
1.2388,-0.010982
1.2488,-0.011068
1.2588,-0.011155
1.2688,-0.011241
1.2788,-0.011327
1.2888,-0.011414
1.2988,-0.0115
1.3088,-0.011586
1.3188,-0.011673
1.3288,-0.011759
1.3388,-0.011845
1.3488,-0.011931
1.3588,-0.012017
1.3688,-0.012103
1.3788,-0.012189
1.3888,-0.012275
1.3988,-0.012361
1.4088,-0.012447
1.4188,-0.012533
1.4288,-0.012619
1.4388,-0.012705
1.4488,-0.012791
1.4588,-0.012876
1.4688,-0.012962
1.4788,-0.013048
1.4888,-0.013133
1.4988,-0.013219
1.5088,-0.013305
1.5188,-0.01339
1.5288,-0.013476
1.5388,-0.013561
1.5488,-0.013647
1.5588,-0.013732
1.5688,-0.013817
1.5788,-0.013903
1.5888,-0.013988
1.5988,-0.014073
1.6088,-0.014158
1.6188,-0.014244
1.6288,-0.014329
1.6388,-0.014414
1.6488,-0.014499
1.6588,-0.014584
1.6688,-0.014669
1.6788,-0.014754
1.6888,-0.014839
1.6988,-0.014924
1.7088,-0.015009
1.7188,-0.015094
1.7288,-0.015179
1.7388,-0.015263
1.7488,-0.015348
1.7588,-0.015433
1.7688,-0.015518
1.7788,-0.015602
1.7888,-0.015687
1.7988,-0.015771
1.8088,-0.015856
1.8188,-0.01594
1.8288,-0.016025
1.8388,-0.016109
1.8488,-0.016194
1.8588,-0.016278
1.8688,-0.016363
1.8788,-0.016447
1.8888,-0.016531
1.8988,-0.016615
1.9088,-0.0167
1.9188,-0.016784
1.9288,-0.016868
1.9388,-0.016952
1.9488,-0.017036
1.9588,-0.01712
1.9688,-0.017204
1.9788,-0.017288
1.9888,-0.017372
1.9988,-0.017456
2.0088,-0.01754
2.0188,-0.017623
2.0288,-0.017707
2.0388,-0.017791
2.0488,-0.017875
2.0588,-0.017958
2.0688,-0.018042
2.0788,-0.018126
2.0888,-0.018209
2.0988,-0.018293
2.1088,-0.018376
2.1188,-0.01846
2.1288,-0.018543
2.1388,-0.018627
2.1488,-0.01871
2.1588,-0.018793
2.1688,-0.018877
2.1788,-0.01896
2.1888,-0.019043
2.1988,-0.019126
2.2088,-0.01921
2.2188,-0.019293
2.2288,-0.019376
2.2388,-0.019459
2.2488,-0.019542
2.2588,-0.019625
2.2688,-0.019708
