-0.074022-0.19602i,-0.074022+0.19602i,-0.11634-0.14821i,-0.11634+0.14821i,-0.14208-0.1044i,-0.14208+0.1044i,-0.15751-0.06218i,-0.15751+0.06218i,-0.16481-0.020659i,-0.16481+0.020659i,-0.0022573
-0.07403-0.19602i,-0.07403+0.19602i,-0.11612-0.14831i,-0.11612+0.14831i,-0.14347-0.10284i,-0.14347+0.10284i,-0.15511-0.067735i,-0.15511+0.067735i,-0.16604-0.00060844i,-0.16604+0.00060844i,-0.0022577
-0.07403-0.19602i,-0.07403+0.19602i,-0.11612-0.14831i,-0.11612+0.14831i,-0.14347-0.10284i,-0.14347+0.10284i,-0.1551-0.06774i,-0.1551+0.06774i,-0.16604,-0.16604,-0.0022577
-0.07403-0.19602i,-0.07403+0.19602i,-0.11612-0.14831i,-0.11612+0.14831i,-0.14347-0.10283i,-0.14347+0.10283i,-0.1551-0.067745i,-0.1551+0.067745i,-0.16543,-0.16665,-0.0022577
-0.074036-0.19602i,-0.074036+0.19602i,-0.11594-0.14839i,-0.11594+0.14839i,-0.14486-0.10136i,-0.14486+0.10136i,-0.15313-0.071742i,-0.15313+0.071742i,-0.15009,-0.1835,-0.002258
-0.074047-0.19603i,-0.074047+0.19603i,-0.11568-0.14851i,-0.11568+0.14851i,-0.14795-0.098749i,-0.14795+0.098749i,-0.14937-0.077481i,-0.14937+0.077481i,-0.14254,-0.19291,-0.0022584
-0.074049-0.19603i,-0.074049+0.19603i,-0.11562-0.14854i,-0.11562+0.14854i,-0.14889-0.098198i,-0.14889+0.098198i,-0.14831-0.078612i,-0.14831+0.078612i,-0.14142,-0.19438,-0.0022585
-0.074051-0.19603i,-0.074051+0.19603i,-0.11557-0.14856i,-0.11557+0.14856i,-0.14997-0.097724i,-0.14997+0.097724i,-0.14711-0.079645i,-0.14711+0.079645i,-0.14038,-0.19574,-0.0022586
-0.074053-0.19603i,-0.074053+0.19603i,-0.11551-0.14859i,-0.11551+0.14859i,-0.15118-0.0974i,-0.15118+0.0974i,-0.14579-0.080507i,-0.14579+0.080507i,-0.13942,-0.19702,-0.0022587
-0.074055-0.19603i,-0.074055+0.19603i,-0.11546-0.14861i,-0.11546+0.14861i,-0.15245-0.097282i,-0.15245+0.097282i,-0.14443-0.081146i,-0.14443+0.081146i,-0.13854,-0.19822,-0.0022588
-0.074057-0.19603i,-0.074057+0.19603i,-0.11541-0.14864i,-0.11541+0.14864i,-0.15367-0.097362i,-0.15367+0.097362i,-0.1431-0.081569i,-0.1431+0.081569i,-0.1377,-0.19934,-0.0022589
-0.074059-0.19603i,-0.074059+0.19603i,-0.11535-0.14866i,-0.11535+0.14866i,-0.15481-0.097586i,-0.15481+0.097586i,-0.14187-0.081831i,-0.14187+0.081831i,-0.13692,-0.20041,-0.002259
-0.074064-0.19603i,-0.074064+0.19603i,-0.11525-0.14871i,-0.11525+0.14871i,-0.15675-0.098261i,-0.15675+0.098261i,-0.13975-0.082086i,-0.13975+0.082086i,-0.13549,-0.2024,-0.0022592
-0.074071-0.19604i,-0.074071+0.19604i,-0.11507-0.1488i,-0.11507+0.1488i,-0.15931-0.099603i,-0.15931+0.099603i,-0.13693-0.0822i,-0.13693+0.0822i,-0.13339,-0.20538,-0.0022595
-0.074078-0.19604i,-0.074078+0.19604i,-0.1149-0.14888i,-0.1149+0.14888i,-0.16128-0.10093i,-0.16128+0.10093i,-0.13472-0.082206i,-0.13472+0.082206i,-0.13157,-0.20799,-0.0022598
-0.074092-0.19604i,-0.074092+0.19604i,-0.11457-0.14905i,-0.11457+0.14905i,-0.16428-0.10335i,-0.16428+0.10335i,-0.13132-0.082171i,-0.13132+0.082171i,-0.12856,-0.21245,-0.0022605
-0.074141-0.19606i,-0.074141+0.19606i,-0.11353-0.14959i,-0.11353+0.14959i,-0.17048-0.10962i,-0.17048+0.10962i,-0.12417-0.082155i,-0.12417+0.082155i,-0.12163,-0.22325,-0.0022626
-0.074224-0.19609i,-0.074224+0.19609i,-0.112-0.15043i,-0.112+0.15043i,-0.17634-0.11678i,-0.17634+0.11678i,-0.11738-0.082303i,-0.11738+0.082303i,-0.11468,-0.23495,-0.0022662
-0.074364-0.19615i,-0.074364+0.19615i,-0.10985-0.15168i,-0.10985+0.15168i,-0.18218-0.12482i,-0.18218+0.12482i,-0.1107-0.08258i,-0.1107+0.08258i,-0.10768,-0.24766,-0.0022724
-0.074601-0.19625i,-0.074601+0.19625i,-0.10697-0.15342i,-0.10697+0.15342i,-0.18808-0.13375i,-0.18808+0.13375i,-0.10403-0.082943i,-0.10403+0.082943i,-0.10061,-0.26153,-0.0022828
-0.075005-0.19645i,-0.075005+0.19645i,-0.10324-0.15564i,-0.10324+0.15564i,-0.19404-0.14362i,-0.19404+0.14362i,-0.097365-0.083364i,-0.097365+0.083364i,-0.093483,-0.27674,-0.0023004
-0.075689-0.19683i,-0.075689+0.19683i,-0.098508-0.15828i,-0.098508+0.15828i,-0.2-0.1545i,-0.2+0.1545i,-0.090692-0.083829i,-0.090692+0.083829i,-0.086266,-0.29346,-0.0023302
-0.076805-0.19766i,-0.076805+0.19766i,-0.092584-0.16104i,-0.092584+0.16104i,-0.20589-0.16651i,-0.20589+0.16651i,-0.084021-0.084333i,-0.084021+0.084333i,-0.078944,-0.31196,-0.0023808
-0.078353-0.19951i,-0.078353+0.19951i,-0.085434-0.16333i,-0.085434+0.16333i,-0.21159-0.17976i,-0.21159+0.17976i,-0.077359-0.084876i,-0.077359+0.084876i,-0.071491,-0.33251,-0.0024674
-0.07919-0.20126i,-0.07919+0.20126i,-0.08107-0.16412i,-0.08107+0.16412i,-0.21468-0.18785i,-0.21468+0.18785i,-0.073603-0.085201i,-0.073603+0.085201i,-0.06721,-0.34516,-0.0025414
-0.079645-0.20297i,-0.079645+0.20297i,-0.077711-0.16446i,-0.077711+0.16446i,-0.21698-0.1944i,-0.21698+0.1944i,-0.070713-0.08546i,-0.070713+0.08546i,-0.063866,-0.35548,-0.0026164
-0.079863-0.20556i,-0.079863+0.20556i,-0.073481-0.16466i,-0.073481+0.16466i,-0.21982-0.20335i,-0.21982+0.20335i,-0.066969-0.085808i,-0.066969+0.085808i,-0.059462,-0.36969,-0.0027453
-0.079712-0.20775i,-0.079712+0.20775i,-0.070349-0.16471i,-0.070349+0.16471i,-0.22189-0.2106i,-0.22189+0.2106i,-0.064089-0.086085i,-0.064089+0.086085i,-0.056005,-0.38131,-0.0028771
-0.079108-0.21074i,-0.079108+0.21074i,-0.066438-0.1647i,-0.066438+0.1647i,-0.22436-0.22048i,-0.22436+0.22048i,-0.060361-0.086455i,-0.060361+0.086455i,-0.051423,-0.39737,-0.0031066
-0.078347-0.21311i,-0.078347+0.21311i,-0.063523-0.16469i,-0.063523+0.16469i,-0.22609-0.22849i,-0.22609+0.22849i,-0.057494-0.08675i,-0.057494+0.08675i,-0.047796,-0.41056,-0.0033457
-0.07571-0.21868i,-0.07571+0.21868i,-0.057049-0.16472i,-0.057049+0.16472i,-0.22931-0.24826i,-0.22931+0.24826i,-0.050935-0.087453i,-0.050935+0.087453i,-0.039008,-0.44392,-0.0042381
-0.071946-0.22428i,-0.071946+0.22428i,-0.050766-0.16488i,-0.050766+0.16488i,-0.23119-0.27004i,-0.23119+0.27004i,-0.044418-0.088191i,-0.044418+0.088191i,-0.028978,-0.4823,-0.0062014
-0.068035-0.22888i,-0.068035+0.22888i,-0.045619-0.1651i,-0.045619+0.1651i,-0.23143-0.28975i,-0.23143+0.28975i,-0.039042-0.088826i,-0.039042+0.088826i,-0.014703,-0.51881,-0.013637
-0.068025-0.22889i,-0.068025+0.22889i,-0.045607-0.1651i,-0.045607+0.1651i,-0.23143-0.2898i,-0.23143+0.2898i,-0.039029-0.088827i,-0.039029+0.088827i,-0.014162-1.6859e-09i,-0.5189,-0.014162+1.6859e-09i
-0.068015-0.22891i,-0.068015+0.22891i,-0.045595-0.1651i,-0.045595+0.1651i,-0.23143-0.28985i,-0.23143+0.28985i,-0.039017-0.088829i,-0.039017+0.088829i,-0.014154-0.00053223i,-0.51899,-0.014154+0.00053223i
-0.067153-0.22981i,-0.067153+0.22981i,-0.044572-0.16515i,-0.044572+0.16515i,-0.2313-0.29396i,-0.2313+0.29396i,-0.037949-0.088957i,-0.037949+0.088957i,-0.013464-0.004964i,-0.52686,-0.013464+0.004964i
