polo0,polo1,polo2,polo3,polo4,polo5,polo6,polo7,polo8,polo9,polo10
-0.074022,-0.074022,-0.11634,-0.11634,-0.14208,-0.14208,-0.15751,-0.15751,-0.16481,-0.16481,-0.0022573
-0.07403,-0.07403,-0.11612,-0.11612,-0.14347,-0.14347,-0.15511,-0.15511,-0.16604,-0.16604,-0.0022577
-0.07403,-0.07403,-0.11612,-0.11612,-0.14347,-0.14347,-0.1551,-0.1551,-0.16604,-0.16604,-0.0022577
-0.07403,-0.07403,-0.11612,-0.11612,-0.14347,-0.14347,-0.1551,-0.1551,-0.16543,-0.16665,-0.0022577
-0.074036,-0.074036,-0.11594,-0.11594,-0.14486,-0.14486,-0.15313,-0.15313,-0.15009,-0.1835,-0.002258
-0.074047,-0.074047,-0.11568,-0.11568,-0.14795,-0.14795,-0.14937,-0.14937,-0.14254,-0.19291,-0.0022584
-0.074049,-0.074049,-0.11562,-0.11562,-0.14889,-0.14889,-0.14831,-0.14831,-0.14142,-0.19438,-0.0022585
-0.074051,-0.074051,-0.11557,-0.11557,-0.14997,-0.14997,-0.14711,-0.14711,-0.14038,-0.19574,-0.0022586
-0.074053,-0.074053,-0.11551,-0.11551,-0.15118,-0.15118,-0.14579,-0.14579,-0.13942,-0.19702,-0.0022587
-0.074055,-0.074055,-0.11546,-0.11546,-0.15245,-0.15245,-0.14443,-0.14443,-0.13854,-0.19822,-0.0022588
-0.074057,-0.074057,-0.11541,-0.11541,-0.15367,-0.15367,-0.1431,-0.1431,-0.1377,-0.19934,-0.0022589
-0.074059,-0.074059,-0.11535,-0.11535,-0.15481,-0.15481,-0.14187,-0.14187,-0.13692,-0.20041,-0.002259
-0.074064,-0.074064,-0.11525,-0.11525,-0.15675,-0.15675,-0.13975,-0.13975,-0.13549,-0.2024,-0.0022592
-0.074071,-0.074071,-0.11507,-0.11507,-0.15931,-0.15931,-0.13693,-0.13693,-0.13339,-0.20538,-0.0022595
-0.074078,-0.074078,-0.1149,-0.1149,-0.16128,-0.16128,-0.13472,-0.13472,-0.13157,-0.20799,-0.0022598
-0.074092,-0.074092,-0.11457,-0.11457,-0.16428,-0.16428,-0.13132,-0.13132,-0.12856,-0.21245,-0.0022605
-0.074141,-0.074141,-0.11353,-0.11353,-0.17048,-0.17048,-0.12417,-0.12417,-0.12163,-0.22325,-0.0022626
-0.074224,-0.074224,-0.112,-0.112,-0.17634,-0.17634,-0.11738,-0.11738,-0.11468,-0.23495,-0.0022662
-0.074364,-0.074364,-0.10985,-0.10985,-0.18218,-0.18218,-0.1107,-0.1107,-0.10768,-0.24766,-0.0022724
-0.074601,-0.074601,-0.10697,-0.10697,-0.18808,-0.18808,-0.10403,-0.10403,-0.10061,-0.26153,-0.0022828
-0.075005,-0.075005,-0.10324,-0.10324,-0.19404,-0.19404,-0.097365,-0.097365,-0.093483,-0.27674,-0.0023004
-0.075689,-0.075689,-0.098508,-0.098508,-0.2,-0.2,-0.090692,-0.090692,-0.086266,-0.29346,-0.0023302
-0.076805,-0.076805,-0.092584,-0.092584,-0.20589,-0.20589,-0.084021,-0.084021,-0.078944,-0.31196,-0.0023808
-0.078353,-0.078353,-0.085434,-0.085434,-0.21159,-0.21159,-0.077359,-0.077359,-0.071491,-0.33251,-0.0024674
-0.07919,-0.07919,-0.08107,-0.08107,-0.21468,-0.21468,-0.073603,-0.073603,-0.06721,-0.34516,-0.0025414
-0.079645,-0.079645,-0.077711,-0.077711,-0.21698,-0.21698,-0.070713,-0.070713,-0.063866,-0.35548,-0.0026164
-0.079863,-0.079863,-0.073481,-0.073481,-0.21982,-0.21982,-0.066969,-0.066969,-0.059462,-0.36969,-0.0027453
-0.079712,-0.079712,-0.070349,-0.070349,-0.22189,-0.22189,-0.064089,-0.064089,-0.056005,-0.38131,-0.0028771
-0.079108,-0.079108,-0.066438,-0.066438,-0.22436,-0.22436,-0.060361,-0.060361,-0.051423,-0.39737,-0.0031066
-0.078347,-0.078347,-0.063523,-0.063523,-0.22609,-0.22609,-0.057494,-0.057494,-0.047796,-0.41056,-0.0033457
-0.07571,-0.07571,-0.057049,-0.057049,-0.22931,-0.22931,-0.050935,-0.050935,-0.039008,-0.44392,-0.0042381
-0.071946,-0.071946,-0.050766,-0.050766,-0.23119,-0.23119,-0.044418,-0.044418,-0.028978,-0.4823,-0.0062014
-0.068035,-0.068035,-0.045619,-0.045619,-0.23143,-0.23143,-0.039042,-0.039042,-0.014703,-0.51881,-0.013637
-0.068025,-0.068025,-0.045607,-0.045607,-0.23143,-0.23143,-0.039029,-0.039029,-0.014162,-0.5189,-0.014162
-0.068015,-0.068015,-0.045595,-0.045595,-0.23143,-0.23143,-0.039017,-0.039017,-0.014154,-0.51899,-0.014154
-0.067153,-0.067153,-0.044572,-0.044572,-0.2313,-0.2313,-0.037949,-0.037949,-0.013464,-0.52686,-0.013464
-0.065506,-0.065506,-0.042702,-0.042702,-0.2309,-0.2309,-0.035997,-0.035997,-0.012194,-0.54182,-0.012194
-0.064016,-0.064016,-0.04109,-0.04109,-0.23037,-0.23037,-0.034318,-0.034318,-0.011091,-0.55533,-0.011091
-0.061396,-0.061396,-0.038407,-0.038407,-0.22908,-0.22908,-0.031531,-0.031531,-0.009241,-0.57916,-0.009241
-0.057741,-0.057741,-0.034925,-0.034925,-0.22654,-0.22654,-0.027931,-0.027931,-0.0068116,-0.61286,-0.0068116
-0.054733,-0.054733,-0.032238,-0.032238,-0.22385,-0.22385,-0.025169,-0.025169,-0.0049169,-0.64125,-0.0049169
-0.047221,-0.047221,-0.026046,-0.026046,-0.2148,-0.2148,-0.018863,-0.018863,-0.00049017,-0.71598,-0.00049017
-0.038928,-0.038928,-0.019824,-0.019824,-0.20101,-0.20101,-0.012613,-0.012613,0.0040391,-0.80726,0.0040391
-0.029935,-0.029935,-0.013576,-0.013576,-0.18143,-0.18143,-0.0064175,-0.0064175,0.0086689,-0.92068,0.0086689
-0.020341,-0.020341,-0.0073063,-0.0073063,-0.15499,-0.15499,-0.00027236,-0.00027236,0.013396,-1.0644,0.013396
-0.010264,-0.010264,-0.0010282,-0.0010282,-0.12072,-0.12072,0.0058262,0.0058262,0.018215,-1.2506,0.018215
0.00015721,0.00015721,0.0052445,0.0052445,-0.077994,-0.077994,0.011883,0.011883,0.023122,-1.4979,0.023122
0.0061368,0.0061368,0.0087785,0.0087785,-0.050101,-0.050101,0.015287,0.015287,0.025929,-1.6751,0.025929
0.010768,0.010768,0.011496,0.011496,-0.026848,-0.026848,0.017903,0.017903,0.02811,-1.8358,0.02811
0.021396,0.021396,0.017708,0.017708,0.031559,0.031559,0.023891,0.023891,0.033174,-2.3121,0.033174
0.027339,0.027339,0.021194,0.021194,0.066813,0.066813,0.027261,0.027261,0.036065,-2.6704,0.036065
0.031863,0.031863,0.023866,0.023866,0.094557,0.094557,0.029853,0.029853,0.038307,-3.0064,0.038307
0.041984,0.041984,0.029956,0.029956,0.15784,0.15784,0.035792,0.035792,0.043506,-4.0536,0.043506
0.047478,0.047478,0.03336,0.03336,0.19168,0.19168,0.039137,0.039137,0.046468,-4.8827,0.046468
0.051578,0.051578,0.035966,0.035966,0.21602,0.21602,0.041712,0.041712,0.048763,-5.6855,0.048763
0.056698,0.056698,0.039322,0.039322,0.24459,0.24459,0.045049,0.045049,0.051757,-7.0066,0.051757
0.060473,0.060473,0.04189,0.04189,0.26388,0.26388,0.047618,0.047618,0.054075,-8.3019,0.054075
0.068509,0.068509,0.047734,0.047734,0.29808,0.29808,0.053512,0.053512,0.059437,-12.589,0.059437
0.075539,0.075539,0.053513,0.053513,0.31806,0.31806,0.059397,0.059397,0.064845,-19.714,0.064845
0.081423,0.081423,0.059266,0.059266,0.3257,0.3257,0.065275,0.065275,0.070294,-31.658,0.070294
0.086008,0.086008,0.065079,0.065079,0.32411,0.32411,0.07115,0.07115,0.075783,-51.762,0.075783
0.089064,0.089064,0.071142,0.071142,0.31637,0.31637,0.077022,0.077022,0.081307,-85.664,0.081307
0.089989,0.089989,0.078047,0.078047,0.30501,0.30501,0.082897,0.082897,0.086864,-142.88,0.086864
0.085614,0.085614,0.088038,0.088038,0.29392,0.29392,0.087865,0.087865,0.091582,-220.96,0.091582
0.085614,0.085614,0.088038,0.088038,0.29392,0.29392,0.087865,0.087865,0.091582,-220.96,0.091582
0.085586,0.085586,0.088078,0.088078,0.29389,0.29389,0.087876,0.087876,0.091592,-221.18,0.091592
0.085586,0.085586,0.088078,0.088078,0.29389,0.29389,0.087876,0.087876,0.091592,-221.18,0.091592
0.085558,0.085558,0.088117,0.088117,0.29387,0.29387,0.087887,0.087887,0.091603,-221.4,0.091603
0.085558,0.085558,0.088117,0.088117,0.29387,0.29387,0.087887,0.087887,0.091603,-221.4,0.091603
0.083446,0.083446,0.091141,0.091141,0.2918,0.2918,0.088779,0.088779,0.092451,-239.46,0.092451
0.077884,0.077884,0.10201,0.10201,0.27788,0.27788,0.094672,0.094672,0.098067,-402.54,0.098067
0.076046,0.076046,0.10795,0.10795,0.26395,0.26395,0.10058,0.10058,0.10371,-677.87,0.10371
0.075152,0.075152,0.11181,0.11181,0.25043,0.25043,0.10649,0.10649,0.10937,-1142.7,0.10937
