tKr,tKr1,yKr,yKr1
0,0,0,0
1.0007,1.0007,-0.011059,-1.1061
2.0013,2.0013,-0.021629,-2.1633
3.002,3.002,-0.031717,-3.1723
4.0027,4.0027,-0.04133,-4.1338
5.0033,5.0033,-0.050475,-5.0484
6.004,6.004,-0.059159,-5.917
7.0047,7.0047,-0.067388,-6.74
8.0053,8.0053,-0.07517,-7.5183
9.006,9.006,-0.08251,-8.2525
10.007,10.007,-0.089417,-8.9433
11.007,11.007,-0.095896,-9.5913
12.008,12.008,-0.10195,-10.197
13.009,13.009,-0.1076,-10.762
14.009,14.009,-0.11284,-11.286
15.01,15.01,-0.11767,-11.769
16.011,16.011,-0.12212,-12.214
17.011,17.011,-0.12617,-12.619
18.012,18.012,-0.12985,-12.987
19.013,19.013,-0.13315,-13.317
20.013,20.013,-0.13608,-13.61
21.014,21.014,-0.13865,-13.868
22.015,22.015,-0.14087,-14.09
23.015,23.015,-0.14274,-14.276
24.016,24.016,-0.14427,-14.429
25.017,25.017,-0.14546,-14.549
26.017,26.017,-0.14632,-14.635
27.018,27.018,-0.14686,-14.689
28.019,28.019,-0.14709,-14.711
29.019,29.019,-0.147,-14.703
30.02,30.02,-0.14661,-14.663
31.021,31.021,-0.14592,-14.595
32.021,32.021,-0.14494,-14.497
33.022,33.022,-0.14367,-14.37
34.023,34.023,-0.14213,-14.215
35.023,35.023,-0.14031,-14.033
36.024,36.024,-0.13822,-13.824
37.025,37.025,-0.13587,-13.589
38.025,38.025,-0.13326,-13.328
39.026,39.026,-0.1304,-13.043
40.027,40.027,-0.1273,-12.732
41.027,41.027,-0.12396,-12.398
42.028,42.028,-0.12038,-12.04
43.029,43.029,-0.11658,-11.66
44.029,44.029,-0.11255,-11.257
45.03,45.03,-0.10831,-10.833
46.031,46.031,-0.10386,-10.388
47.031,47.031,-0.099199,-9.9216
48.032,48.032,-0.094338,-9.4355
49.033,49.033,-0.089282,-8.9298
50.033,50.033,-0.084035,-8.405
51.034,51.034,-0.078604,-7.8618
52.035,52.035,-0.072992,-7.3005
53.035,53.035,-0.067205,-6.7217
54.036,54.036,-0.061249,-6.126
55.037,55.037,-0.055127,-5.5137
56.037,56.037,-0.048846,-4.8854
57.038,57.038,-0.042409,-4.2416
58.039,58.039,-0.035821,-3.5828
59.039,59.039,-0.029088,-2.9093
60.04,60.04,-0.022214,-2.2218
61.041,61.041,-0.015204,-1.5206
62.041,62.041,-0.0080615,-0.8063
63.042,63.042,-0.00079197,-0.079211
64.043,64.043,0.0066004,0.66016
65.043,65.043,0.014111,1.4114
66.044,66.044,0.021736,2.174
67.045,67.045,0.029471,2.9476
68.045,68.045,0.037311,3.7318
69.046,69.046,0.045253,4.5261
70.047,70.047,0.053292,5.3301
71.047,71.047,0.061424,6.1435
72.048,72.048,0.069645,6.9658
73.049,73.049,0.077952,7.7965
74.049,74.049,0.086339,8.6355
75.05,75.05,0.094805,9.4821
76.051,76.051,0.10334,10.336
77.051,77.051,0.11195,11.197
78.052,78.052,0.12063,12.065
79.053,79.053,0.12936,12.939
80.053,80.053,0.13816,13.819
81.054,81.054,0.14701,14.704
82.055,82.055,0.15592,15.595
83.055,83.055,0.16487,16.49
84.056,84.056,0.17387,17.39
85.057,85.057,0.18291,18.294
86.057,86.057,0.19199,19.202
87.058,87.058,0.2011,20.114
88.059,88.059,0.21025,21.029
89.059,89.059,0.21943,21.947
90.06,90.06,0.22863,22.867
91.061,91.061,0.23786,23.79
92.061,92.061,0.2471,24.715
93.062,93.062,0.25637,25.641
94.063,94.063,0.26565,26.569
95.063,95.063,0.27494,27.499
96.064,96.064,0.28424,28.429
97.065,97.065,0.29354,29.36
98.065,98.065,0.30285,30.291
99.066,99.066,0.31217,31.222
100.07,100.07,0.32148,32.153
101.07,101.07,0.33078,33.084
102.07,102.07,0.34009,34.015
103.07,103.07,0.34938,34.944
104.07,104.07,0.35866,35.873
105.07,105.07,0.36793,36.8
106.07,106.07,0.37719,37.725
107.07,107.07,0.38642,38.649
108.07,108.07,0.39564,39.571
109.07,109.07,0.40484,40.491
110.07,110.07,0.41401,41.408
111.07,111.07,0.42316,42.323
112.07,112.07,0.43228,43.235
113.08,113.08,0.44137,44.145
114.08,114.08,0.45043,45.051
115.08,115.08,0.45945,45.954
116.08,116.08,0.46845,46.853
117.08,117.08,0.4774,47.749
118.08,118.08,0.48632,48.641
119.08,119.08,0.4952,49.528
120.08,120.08,0.50403,50.412
121.08,121.08,0.51283,51.292
122.08,122.08,0.52158,52.167
123.08,123.08,0.53028,53.037
124.08,124.08,0.53894,53.903
125.08,125.08,0.54754,54.764
126.08,126.08,0.5561,55.62
127.08,127.08,0.56461,56.471
128.09,128.09,0.57306,57.316
129.09,129.09,0.58146,58.157
130.09,130.09,0.58981,58.991
131.09,131.09,0.5981,59.82
132.09,132.09,0.60633,60.644
133.09,133.09,0.61451,61.461
134.09,134.09,0.62262,62.273
135.09,135.09,0.63068,63.079
136.09,136.09,0.63867,63.878
137.09,137.09,0.6466,64.672
138.09,138.09,0.65447,65.459
139.09,139.09,0.66228,66.239
140.09,140.09,0.67002,67.014
141.09,141.09,0.67769,67.781
142.09,142.09,0.6853,68.542
143.1,143.1,0.69284,69.297
144.1,144.1,0.70032,70.044
145.1,145.1,0.70772,70.785
146.1,146.1,0.71506,71.519
147.1,147.1,0.72233,72.246
148.1,148.1,0.72953,72.966
149.1,149.1,0.73666,73.679
150.1,150.1,0.74371,74.385
151.1,151.1,0.7507,75.083
152.1,152.1,0.75761,75.775
153.1,153.1,0.76445,76.459
154.1,154.1,0.77122,77.136
155.1,155.1,0.77792,77.806
156.1,156.1,0.78454,78.468
157.1,157.1,0.79109,79.123
158.11,158.11,0.79756,79.77
159.11,159.11,0.80396,80.41
160.11,160.11,0.81029,81.043
161.11,161.11,0.81654,81.668
162.11,162.11,0.82271,82.286
163.11,163.11,0.82881,82.896
164.11,164.11,0.83484,83.499
165.11,165.11,0.84079,84.094
166.11,166.11,0.84666,84.681
167.11,167.11,0.85246,85.261
168.11,168.11,0.85819,85.834
169.11,169.11,0.86383,86.399
170.11,170.11,0.86941,86.956
171.11,171.11,0.8749,87.506
172.11,172.11,0.88032,88.048
173.12,173.12,0.88567,88.583
174.12,174.12,0.89094,89.11
175.12,175.12,0.89613,89.629
176.12,176.12,0.90125,90.141
177.12,177.12,0.9063,90.646
178.12,178.12,0.91127,91.143
179.12,179.12,0.91616,91.632
180.12,180.12,0.92098,92.115
181.12,181.12,0.92573,92.589
182.12,182.12,0.9304,93.056
183.12,183.12,0.935,93.516
184.12,184.12,0.93952,93.969
185.12,185.12,0.94397,94.414
186.12,186.12,0.94835,94.852
187.12,187.12,0.95265,95.282
188.13,188.13,0.95688,95.705
189.13,189.13,0.96104,96.121
190.13,190.13,0.96513,96.53
191.13,191.13,0.96914,96.932
192.13,192.13,0.97309,97.326
193.13,193.13,0.97696,97.713
194.13,194.13,0.98076,98.094
195.13,195.13,0.9845,98.467
196.13,196.13,0.98816,98.833
197.13,197.13,0.99175,99.193
198.13,198.13,0.99527,99.545
199.13,199.13,0.99873,99.891
200.13,200.13,1.0021,100.23
201.13,201.13,1.0054,100.56
202.13,202.13,1.0087,100.89
203.14,203.14,1.0119,101.21
204.14,204.14,1.015,101.52
205.14,205.14,1.018,101.82
206.14,206.14,1.021,102.12
207.14,207.14,1.024,102.41
208.14,208.14,1.0268,102.7
209.14,209.14,1.0296,102.98
210.14,210.14,1.0323,103.25
211.14,211.14,1.035,103.52
212.14,212.14,1.0376,103.78
213.14,213.14,1.0402,104.04
214.14,214.14,1.0427,104.28
215.14,215.14,1.0451,104.53
216.14,216.14,1.0474,104.76
217.14,217.14,1.0497,104.99
218.15,218.15,1.052,105.22
219.15,219.15,1.0542,105.44
220.15,220.15,1.0563,105.65
221.15,221.15,1.0584,105.86
222.15,222.15,1.0604,106.06
223.15,223.15,1.0623,106.25
224.15,224.15,1.0643,106.44
225.15,225.15,1.0661,106.63
226.15,226.15,1.0679,106.81
227.15,227.15,1.0696,106.98
228.15,228.15,1.0713,107.15
229.15,229.15,1.073,107.32
230.15,230.15,1.0745,107.47
231.15,231.15,1.0761,107.63
232.15,232.15,1.0776,107.77
233.16,233.16,1.079,107.92
234.16,234.16,1.0804,108.06
235.16,235.16,1.0817,108.19
236.16,236.16,1.083,108.32
237.16,237.16,1.0842,108.44
238.16,238.16,1.0854,108.56
239.16,239.16,1.0866,108.68
240.16,240.16,1.0877,108.79
241.16,241.16,1.0887,108.89
242.16,242.16,1.0897,108.99
243.16,243.16,1.0907,109.09
244.16,244.16,1.0916,109.18
245.16,245.16,1.0925,109.27
246.16,246.16,1.0933,109.35
247.16,247.16,1.0941,109.43
