tempo,ziegler,itae,pidtuner
0,0,0,0
3.1554e-30,0,0,0
5.832e-07,3.4997e-05,1.5204e-05,2.157e-08
1.1664e-06,6.9992e-05,3.0408e-05,4.3141e-08
1.7496e-06,0.00010498,4.561e-05,6.4711e-08
7.5816e-06,0.00045472,0.00019757,2.8042e-07
1.3414e-05,0.00080413,0.00034942,4.9612e-07
1.9246e-05,0.0011532,0.00050116,7.1182e-07
2.5078e-05,0.001502,0.00065279,9.2753e-07
8.3397e-05,0.0049718,0.002163,3.0846e-06
0.00014172,0.0084094,0.0036621,5.2416e-06
0.00020004,0.011815,0.0051503,7.3986e-06
0.00025836,0.015189,0.0066275,9.5557e-06
0.00070131,0.039813,0.0175,2.5939e-05
0.0011443,0.062751,0.027782,4.2321e-05
0.0015872,0.08412,0.037505,5.8704e-05
0.0020302,0.10403,0.046701,7.5086e-05
0.0024731,0.12257,0.055397,9.1468e-05
0.0038667,0.17305,0.079797,0.00014301
0.0052603,0.21345,0.10027,0.00019454
0.0066539,0.24577,0.11744,0.00024608
0.0080475,0.27163,0.13185,0.00029761
0.009441,0.29232,0.14394,0.00034914
0.010835,0.30888,0.15408,0.00040067
0.013344,0.33084,0.16841,0.00049346
0.015854,0.34557,0.17886,0.00058624
0.018363,0.35541,0.18648,0.00067902
0.020873,0.36197,0.19202,0.00077179
0.023383,0.36635,0.19606,0.00086455
0.025892,0.36928,0.19901,0.00095731
0.029863,0.37214,0.20217,0.0011041
0.033834,0.37367,0.20409,0.0012508
0.037805,0.37445,0.20523,0.0013975
0.041776,0.37484,0.20592,0.0015442
0.045747,0.37505,0.20636,0.0016909
0.049718,0.37518,0.20664,0.0018376
0.057773,0.37538,0.20699,0.0021351
0.065827,0.37545,0.20714,0.0024324
0.073881,0.37544,0.20717,0.0027297
0.081936,0.37544,0.20719,0.003027
0.08999,0.37549,0.20723,0.0033242
0.098044,0.37554,0.20729,0.0036213
0.11289,0.37565,0.20741,0.0041687
0.12773,0.3757,0.20746,0.0047158
0.14258,0.37575,0.20751,0.0052627
0.15742,0.37583,0.20759,0.0058094
0.17226,0.37592,0.20769,0.0063559
0.18711,0.37599,0.20776,0.0069021
0.2249,0.37618,0.20796,0.0082916
0.26268,0.37637,0.20814,0.0096796
0.30047,0.37656,0.20835,0.011066
0.33826,0.37675,0.20856,0.012451
0.37605,0.37694,0.20876,0.013835
0.49058,0.37752,0.20935,0.018019
0.60512,0.3781,0.20994,0.02219
0.71965,0.37867,0.21055,0.026347
0.83419,0.37925,0.21116,0.030491
0.94872,0.37983,0.21175,0.034621
1,0.38008,0.21202,0.036466
1,0.38008,0.21202,0.036466
1,0.38008,0.21202,0.036466
1.0378,0.38027,0.21222,0.037824
1.0756,0.38046,0.21241,0.039181
1.1135,0.38065,0.21261,0.040537
1.1513,0.38084,0.21281,0.041891
1.263,0.38141,0.21339,0.045882
1.3747,0.38197,0.21397,0.049861
1.4864,0.38253,0.21455,0.053827
1.5981,0.38309,0.21514,0.057781
1.811,0.38416,0.21624,0.065284
2.0239,0.38523,0.21735,0.072741
2.2369,0.38629,0.21845,0.080153
2.4498,0.38736,0.21956,0.087521
2.6628,0.38842,0.22066,0.094843
3.2164,0.39119,0.22351,0.11367
3.77,0.39395,0.22635,0.13221
4.3236,0.3967,0.22918,0.15045
4.8772,0.39945,0.23201,0.1684
5.4308,0.40219,0.23482,0.18606
6.2457,0.40621,0.23893,0.21156
7.0605,0.41022,0.24302,0.23645
7.8753,0.41422,0.24709,0.26077
8.6901,0.41821,0.25114,0.28451
9.5049,0.42218,0.25516,0.30769
10.505,0.42703,0.26006,0.3354
11.505,0.43187,0.26493,0.3623
12.505,0.43669,0.26977,0.38842
13.505,0.44149,0.27457,0.41377
14.505,0.44626,0.27934,0.43838
15.505,0.45102,0.28408,0.46226
16.505,0.45576,0.28878,0.48543
17.505,0.46048,0.29345,0.50792
18.505,0.46517,0.29809,0.52973
19.505,0.46985,0.30269,0.55089
20.505,0.47451,0.30727,0.57141
21.505,0.47915,0.31181,0.59131
22.505,0.48376,0.31632,0.61061
23.505,0.48836,0.32079,0.62932
24.505,0.49294,0.32524,0.64745
25.505,0.49749,0.32965,0.66502
26.505,0.50203,0.33404,0.68205
27.505,0.50655,0.33839,0.69855
28.505,0.51104,0.34271,0.71453
29.505,0.51552,0.34701,0.73001
30.505,0.51997,0.35127,0.745
31.505,0.5244,0.3555,0.75952
32.505,0.52882,0.35971,0.77357
33.505,0.53321,0.36388,0.78717
34.505,0.53758,0.36802,0.80033
35.505,0.54194,0.37214,0.81306
36.505,0.54627,0.37623,0.82537
37.505,0.55058,0.38028,0.83728
38.505,0.55487,0.38431,0.8488
39.505,0.55914,0.38832,0.85993
40.505,0.56339,0.39229,0.87069
41.505,0.56761,0.39624,0.88109
42.505,0.57182,0.40015,0.89113
43.505,0.57601,0.40405,0.90083
44.505,0.58018,0.40791,0.91019
45.505,0.58432,0.41175,0.91923
46.505,0.58845,0.41556,0.92796
47.505,0.59255,0.41934,0.93637
48.505,0.59663,0.4231,0.94449
49.505,0.6007,0.42683,0.95232
50.505,0.60474,0.43054,0.95986
51.505,0.60876,0.43422,0.96713
52.505,0.61276,0.43787,0.97413
53.505,0.61674,0.4415,0.98088
54.505,0.6207,0.44511,0.98737
55.505,0.62464,0.44868,0.99362
56.505,0.62856,0.45223,0.99963
57.505,0.63246,0.45576,1.0054
58.505,0.63633,0.45927,1.011
59.505,0.64019,0.46275,1.0163
60.505,0.64402,0.4662,1.0214
61.505,0.64784,0.46963,1.0263
62.505,0.65163,0.47304,1.0311
63.505,0.65541,0.47643,1.0356
64.505,0.65916,0.47979,1.0399
65.505,0.66289,0.48312,1.0441
66.505,0.6666,0.48644,1.048
67.505,0.67029,0.48973,1.0518
68.505,0.67396,0.49299,1.0555
69.505,0.67761,0.49624,1.059
70.505,0.68124,0.49946,1.0623
71.505,0.68485,0.50266,1.0654
72.505,0.68844,0.50584,1.0685
73.505,0.69201,0.509,1.0713
74.505,0.69556,0.51213,1.0741
75.505,0.69908,0.51524,1.0767
76.505,0.70259,0.51833,1.0792
77.505,0.70608,0.5214,1.0815
78.505,0.70954,0.52445,1.0837
79.505,0.71299,0.52748,1.0858
80.505,0.71641,0.53048,1.0878
81.505,0.71982,0.53347,1.0897
82.505,0.7232,0.53643,1.0915
83.505,0.72657,0.53937,1.0931
84.505,0.72991,0.5423,1.0947
85.505,0.73324,0.5452,1.0962
86.505,0.73654,0.54808,1.0976
87.505,0.73983,0.55095,1.0988
88.505,0.74309,0.55379,1.1
89.505,0.74634,0.55661,1.1011
90.505,0.74956,0.55942,1.1022
91.505,0.75277,0.5622,1.1031
92.505,0.75595,0.56496,1.104
93.505,0.75911,0.56771,1.1048
94.505,0.76226,0.57044,1.1055
95.505,0.76538,0.57314,1.1062
96.505,0.76849,0.57583,1.1067
97.505,0.77157,0.5785,1.1073
98.505,0.77464,0.58116,1.1077
99.505,0.77769,0.58379,1.1081
100.5,0.78071,0.58641,1.1085
101.5,0.78372,0.589,1.1088
102.5,0.78671,0.59158,1.109
103.5,0.78968,0.59414,1.1092
104.5,0.79263,0.59669,1.1093
105.5,0.79555,0.59921,1.1094
106.5,0.79846,0.60172,1.1094
107.5,0.80136,0.60422,1.1094
108.5,0.80423,0.60669,1.1094
109.5,0.80708,0.60915,1.1093
110.5,0.80991,0.61159,1.1091
111.5,0.81273,0.61401,1.109
112.5,0.81552,0.61642,1.1088
113.5,0.8183,0.61881,1.1085
114.5,0.82105,0.62118,1.1082
115.5,0.82379,0.62354,1.1079
116.5,0.82651,0.62588,1.1076
117.5,0.82921,0.6282,1.1072
118.5,0.83189,0.63051,1.1068
119.5,0.83456,0.63281,1.1064
120.5,0.8372,0.63508,1.106
121.5,0.83983,0.63735,1.1055
122.5,0.84243,0.63959,1.105
123.5,0.84502,0.64182,1.1045
124.5,0.84759,0.64404,1.104
125.5,0.85015,0.64624,1.1034
126.5,0.85268,0.64842,1.1028
127.5,0.85519,0.65059,1.1022
128.5,0.85769,0.65275,1.1016
129.5,0.86017,0.65489,1.101
130.5,0.86263,0.65701,1.1003
131.5,0.86507,0.65912,1.0997
132.5,0.8675,0.66122,1.099
133.5,0.86991,0.6633,1.0983
134.5,0.87229,0.66537,1.0976
135.5,0.87467,0.66742,1.0969
136.5,0.87702,0.66946,1.0962
137.5,0.87935,0.67148,1.0954
138.5,0.88167,0.6735,1.0947
139.5,0.88397,0.67549,1.094
140.5,0.88626,0.67748,1.0932
141.5,0.88852,0.67945,1.0924
142.5,0.89077,0.6814,1.0917
143.5,0.893,0.68335,1.0909
144.5,0.89521,0.68528,1.0901
145.5,0.89741,0.68719,1.0893
146.5,0.89959,0.6891,1.0885
147.5,0.90175,0.69099,1.0877
148.5,0.90389,0.69287,1.0869
149.5,0.90602,0.69473,1.0861
150.5,0.90813,0.69658,1.0853
151.5,0.91023,0.69842,1.0845
152.5,0.9123,0.70025,1.0837
153.5,0.91436,0.70206,1.0829
154.5,0.91641,0.70386,1.082
155.5,0.91844,0.70565,1.0812
156.5,0.92045,0.70743,1.0804
157.5,0.92244,0.7092,1.0796
158.5,0.92442,0.71095,1.0788
159.5,0.92638,0.71269,1.078
160.5,0.92832,0.71442,1.0771
161.5,0.93025,0.71614,1.0763
162.5,0.93217,0.71784,1.0755
163.5,0.93406,0.71954,1.0747
