tempo,referencia,temperatura
0,100,0
3.1554e-30,100,0
7.3759e-06,100,0
1.4752e-05,100,0
2.2128e-05,100,0
5.4938e-05,100,0
8.7749e-05,100,0
0.00012056,100,0
0.00015337,100,0
0.00030963,100,0
0.00046588,100,0
0.00062214,100,0
0.0007784,100,0
0.001236,100,0
0.0016936,100,0
0.0021512,100,0
0.0026088,100,0
0.0030664,100,0
0.0041322,100,0
0.005198,100,0
0.0062638,100,0
0.0073296,100,0
0.0083954,100,0
0.0094612,100,0
0.011875,100,0
0.014289,100,0
0.016704,100,0
0.019118,100,0
0.021532,100,0
0.023946,100,0
0.028568,100,0
0.03319,100,0
0.037811,100,0
0.042433,100,0
0.047055,100,0
0.051677,100,0
0.063135,100,0
0.074592,100,0
0.086049,100,0
0.097507,100,0
0.10896,100,0
0.12042,100,0
0.15081,100,0
0.1812,100,0
0.21159,100,0
0.24198,100,0
0.27237,100,0
0.41717,100,0
0.56198,100,0
0.70679,100,0
0.8516,100,0
0.99641,100,0
1,100,0
1,100,0
1,100,0
1.0378,100,0
1.0756,100,0
1.1133,100,0
1.1511,100,0
1.2628,100,0
1.3745,100,0
1.4862,100,0
1.5979,100,0
1.8109,100,0
2.0239,100,0
2.237,100,0
2.45,100,0
2.663,100,0
3.2167,100,0
3.7703,100,0
4.324,100,0
4.8776,100,0
5.4313,100,0
6.2462,100,0
7.061,100,0
7.8759,100,0
8.6908,100,0
9.5056,100,0
10.506,100,0
11.506,100,0
12.506,100,0
13.506,100,0
14.506,100,0
15.506,100,0
16.506,100,0
17.506,100,0
18.506,100,0
19.506,100,0
20.506,100,0
21.506,100,0
22.506,100,0
23.506,100,0
24.506,100,0
25.506,100,0
26.506,100,0
27.506,100,0
28.506,100,0
29.506,100,0
30.506,100,0
31.506,100,0
32.506,100,0
33.506,100,0
34.506,100,0
35.506,100,0
36.506,100,0
37.506,100,0
38.506,100,0
39.506,100,0
40.506,100,0
41.506,100,0
42.506,100,0
43.506,100,0
44.506,100,0
45.506,100,0
