tempo,referencia,temperatura
0,25,0
3.1554e-30,25,0
7.3759e-06,25,0
1.4752e-05,25,0
2.2128e-05,25,0
5.4938e-05,25,0
8.7749e-05,25,0
0.00012056,25,0
0.00015337,25,0
0.00030963,25,0
0.00046588,25,0
0.00062214,25,0
0.0007784,25,0
0.001236,25,0
0.0016936,25,0
0.0021512,25,0
0.0026088,25,0
0.0030664,25,0
0.0041322,25,0
0.005198,25,0
0.0062638,25,0
0.0073296,25,0
0.0083954,25,0
0.0094612,25,0
0.011875,25,0
0.014289,25,0
0.016704,25,0
0.019118,25,0
0.021532,25,0
0.023946,25,0
0.028568,25,0
0.03319,25,0
0.037811,25,0
0.042433,25,0
0.047055,25,0
0.051677,25,0
0.063135,25,0
0.074592,25,0
0.086049,25,0
0.097507,25,0
0.10896,25,0
0.12042,25,0
0.15081,25,0
0.1812,25,0
0.21159,25,0
0.24198,25,0
0.27237,25,0
0.41717,25,0
0.56198,25,0
0.70679,25,0
0.8516,25,0
0.99641,25,0
1,25,0
1,25,0
1,25,0
1.0378,25,0
1.0756,25,0
1.1133,25,0
1.1511,25,0
1.2628,25,0
1.3745,25,0
1.4862,25,0
1.5979,25,0
1.8109,25,0
2.0239,25,0
2.237,25,0
2.45,25,0
2.663,25,0
3.2167,25,0
3.7703,25,0
4.324,25,0
4.8776,25,0
5.4313,25,0
6.2462,25,0
7.061,25,0
7.8759,25,0
8.6908,25,0
9.5056,25,0
10.506,25,0
11.506,25,0
12.506,25,0
13.506,25,0
14.506,25,0
15.506,25,0
16.506,25,0
17.506,25,0
18.506,25,0
19.506,25,0
20.506,25,0
21.506,25,0
22.506,25,0
23.506,25,0
24.506,25,0
25.506,25,0
26.506,25,0
27.506,25,0
28.506,25,0
29.506,25,0
30.506,25,0
31.506,25,0
32.506,25,0
33.506,25,0
34.506,25,0
35.506,25,0
36.506,25,0
37.506,25,0
38.506,25,0
39.506,25,0
40.506,25,0
41.506,25,0
42.506,25,0
43.506,25,0
44.506,25,0
45.506,25,0
46.506,25,0
47.506,25,0
48.506,25,0
49.506,25,0
50.506,25,0
51.506,25,0
52.506,25,0
53.506,25,0
54.506,25,0
55.506,25,0
56.506,25,0
57.506,25,0
58.506,25,0
59.506,25,0
60.506,25,0
61.506,25,0
62.506,25,0
63.506,25,0
64.506,25,0
65.506,25,0
66.506,25,0
67.506,25,0
68.506,25,0
69.506,25,0
70.506,25,0
71.506,25,0
72.506,25,0
73.506,25,0
74.506,25,0
75.506,25,0
76.506,25,0
77.506,25,0
78.506,25,0
79.506,25,0
80.506,25,0
81.506,25,0
82.506,25,0
83.506,25,0
84.506,25,0.46412
85.506,25,1.3627
86.506,25,2.236
87.506,25,3.0839
88.506,25,3.9087
89.506,25,4.7101
90.506,25,5.4875
91.506,25,6.2434
92.506,25,6.9784
93.506,25,7.6929
94.506,25,8.3855
95.506,25,9.058
96.506,25,9.7109
97.506,25,10.345
98.506,25,10.96
99.506,25,11.557
100,25,11.843
100.49,25,12.13
100.99,25,12.408
101.48,25,12.686
101.98,25,12.956
102.47,25,13.225
102.97,25,13.487
103.97,25,14.009
104.97,25,14.515
105.97,25,15.005
106.97,25,15.481
107.97,25,15.942
108.97,25,16.389
109.97,25,16.822
110.97,25,17.242
111.97,25,17.648
112.97,25,18.042
113.97,25,18.423
114.97,25,18.793
115.97,25,19.15
116.97,25,19.496
117.97,25,19.831
118.97,25,20.155
119.97,25,20.469
120.97,25,20.772
121.97,25,21.065
122.97,25,21.348
123.97,25,21.622
124.97,25,21.887
125.97,25,22.143
126.97,25,22.39
127.97,25,22.629
128.97,25,22.859
129.97,25,23.081
130.97,25,23.296
131.97,25,23.503
132.97,25,23.703
133.97,25,23.895
134.97,25,24.08
135.97,25,24.259
136.97,25,24.431
137.97,25,24.597
