tempo,amplitude
0,0
3.1554e-30,0
7.3759e-06,0
1.4752e-05,0
2.2128e-05,0
5.4938e-05,0
8.7749e-05,0
0.00012056,0
0.00015337,0
0.00030963,0
0.00046588,0
0.00062214,0
0.0007784,0
0.001236,0
0.0016936,0
0.0021512,0
0.0026088,0
0.0030664,0
0.0041322,0
0.005198,0
0.0062638,0
0.0073296,0
0.0083954,0
0.0094612,0
0.011875,0
0.014289,0
0.016704,0
0.019118,0
0.021532,0
0.023946,0
0.028568,0
0.03319,0
0.037811,0
0.042433,0
0.047055,0
0.051677,0
0.063135,0
0.074592,0
0.086049,0
0.097507,0
0.10896,0
0.12042,0
0.15081,0
0.1812,0
0.21159,0
0.24198,0
0.27237,0
0.41717,0
0.56198,0
0.70679,0
0.8516,0
0.99641,0
1,0
1,0
1,0
1.0378,0
1.0756,0
1.1133,0
1.1511,0
1.2628,0
1.3745,0
1.4862,0
1.5979,0
1.8109,0
2.0239,0
2.237,0
2.45,0
2.663,0
3.2167,0
3.7703,0
4.324,0
4.8776,0
5.4313,0
6.2462,0
7.061,0
7.8759,0
8.6908,0
9.5056,0
10.506,0
11.506,0
12.506,0
13.506,0
14.506,0
15.506,0
16.506,0
17.506,0
18.506,0
19.506,0
20.506,0
21.506,0
22.506,0
23.506,0
24.506,0
25.506,0
26.506,0
27.506,0
28.506,0
29.506,0
30.506,0
31.506,0
32.506,0
33.506,0
34.506,0
35.506,0
36.506,0
37.506,0
38.506,0
39.506,0
40.506,0
41.506,0
42.506,0
43.506,0
44.506,0
45.506,0
46.506,0
47.506,0
48.506,0
49.506,0
50.506,0
51.506,0
52.506,0
53.506,0
54.506,0
55.506,0
56.506,0
57.506,0
58.506,0
59.506,0
60.506,0
61.506,0
62.506,0
63.506,0
64.506,0
65.506,0
66.506,0
67.506,0
68.506,0
69.506,0
70.506,0
71.506,0
72.506,0
73.506,0
74.506,0
75.506,0
76.506,0
77.506,0
78.506,0
79.506,0
80.506,0
81.506,0
82.506,0
83.506,0
84.506,0
85.506,0.018564
86.506,0.054505
87.506,0.089406
88.506,0.12336
89.506,0.15635
90.506,0.18836
91.506,0.21949
92.506,0.24976
93.506,0.27919
94.506,0.30772
95.506,0.33542
96.506,0.36232
97.506,0.38844
98.506,0.41379
99.506,0.43839
100.51,0.46228
101.51,0.48545
102.51,0.50793
103.51,0.52975
104.51,0.55091
105.51,0.57143
106.51,0.59133
107.51,0.61062
108.51,0.62933
109.51,0.64746
110.51,0.66503
111.51,0.68206
112.51,0.69856
113.51,0.71454
114.51,0.73002
115.51,0.74502
116.51,0.75953
117.51,0.77358
118.51,0.78718
119.51,0.80034
120.51,0.81307
121.51,0.82538
122.51,0.83729
123.51,0.84881
124.51,0.85994
125.51,0.8707
126.51,0.88109
127.51,0.89114
128.51,0.90084
129.51,0.9102
130.51,0.91924
131.51,0.92796
132.51,0.93638
133.51,0.9445
134.51,0.95232
135.51,0.95987
136.51,0.96714
137.51,0.97414
138.51,0.98088
139.51,0.98738
140.51,0.99362
141.51,0.99963
142.51,1.0054
143.51,1.011
144.51,1.0163
145.51,1.0214
146.51,1.0263
147.51,1.0311
148.51,1.0356
149.51,1.0399
150.51,1.0441
151.51,1.048
152.51,1.0519
153.51,1.0555
154.51,1.059
155.51,1.0623
156.51,1.0655
157.51,1.0685
158.51,1.0713
159.51,1.0741
160.51,1.0767
161.51,1.0792
162.51,1.0815
163.51,1.0837
164.51,1.0858
165.51,1.0878
166.51,1.0897
167.51,1.0915
